id,title,latitude_and_longitude,ratings,review,type,types,type_id,address,operating_hours,phone,website,service_options,popular_for,highlights,offerings,dining_options,amenities,atmosphere,crowd,payments,parking,pets,reserve_a_table,order_online,createdAt,updatedAt
"11","Bird & Branch Coffee Roasters","40.7602998,-73.9907758","4.6","824","Coffee shop","Coffee shop; Cafe; Corporate gift supplier; Dessert shop","coffee_shop","359 W 45th St, New York, NY 10036","Closed ⋅ Opens 8 AM","(917) 265-8444","http://www.birdandbranch.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite; Vegetarian options","Breakfast; Brunch; Catering; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Locals; Tourists","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"12","Down Under Coffee","40.767054,-73.98297649999999","4.8","40","Coffee shop","Coffee shop","coffee_shop","1000 8th Ave, New York, NY 10019","Closed ⋅ Opens 7:30 AM","","","Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Dessert","","Casual; Cozy; Trendy","Locals; Tourists","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11vfblmz4v&g2lbs=AO8LyOI6EyybOfYyBCXGgHBjEorD3UVjIS1NNcT64kksXSJVo-upB4MpCNtBvUCRCYUs0XsNUdyM72FJRP9b7Gw6IXHWQoBY8Q%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"13","787 Coffee","40.7400325,-74.00158929999999","4.9","2611","Coffee shop","Coffee shop","coffee_shop","256 W 15th St, New York, NY 10011","Closed ⋅ Opens 7 AM","(646) 649-2937","http://787coffee.com/","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","Restroom","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","Free street parking; Paid street parking; Usually difficult to find a space","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"14","787 Coffee","40.7274023,-73.98884079999999","4.9","1934","Coffee shop","Coffee shop; Cafe","coffee_shop","101 2nd Ave, New York, NY 10003","Closed ⋅ Opens 7:30 AM","(646) 838-9890","https://www.787coffee.com/","Outdoor seating; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Cocktails; Coffee; Quick bite","Breakfast; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Locals","Credit cards; Debit cards; NFC mobile payments","Paid street parking","Dogs allowed inside; Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/11h4tc39wf&g2lbs=AO8LyOLYOE1mTLLfm_B8cMuKEwhzGHG9o4vtNkfuDfYDexZml2o6SYDpGSjKSEf_ifLSOYLjCoVTg-5QGOOhKve5nn0tVIxhMg%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=t","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"15","Yanni's Coffee","40.739821,-73.9989877","4.7","382","Coffee shop","Coffee shop; Cafe","coffee_shop","96 7th Ave, New York, NY 10011","Closed ⋅ Opens 7 AM","(646) 833-7333","https://m.facebook.com/yanniscoffee/","Onsite services; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert","","Casual; Cozy; Trendy","College students; Locals; Tourists","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"16","Nathan's Coffee Cart","40.755871299999995,-73.990385","5","50","Coffee shop","Coffee shop","coffee_shop","298-200 W 40th St, New York, NY 10018","Open ⋅ Closes 2 PM","(917) 731-6648","","Drive-through; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert","","Casual","","Credit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"17","Aleef Cafe","40.7561758,-73.9925797","4.8","492","Coffee shop","Coffee shop","coffee_shop","333 W 39th St, New York, NY 10018","Closed ⋅ Opens 7 AM","(212) 564-2723","","Delivery; Takeout; Dine-in","Breakfast; Lunch; Solo dining","Great coffee; Great tea selection","Coffee; Healthy options; Quick bite","Breakfast; Lunch; Dinner; Dessert","","Casual; Cozy; Trendy","College students; Tourists","Credit cards; Debit cards; NFC mobile payments","Paid street parking","Dogs allowed outside","","https://www.google.com/viewer/chooseprovider?mid=/g/1td59jld&g2lbs=AO8LyOL7kbx9HuYkkZKckVAw_QvYZbPNiRuFRtAKSmnler-C4mwznPAvVrORS5PyirpbcfVDy_tMb4qtuWq_-DBtrl5ezuj2sQ%3D%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tac","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"18","787 Coffee","40.739911299999996,-74.003287","4.9","2178","Coffee shop","Coffee shop","coffee_shop","310 W 14th St, New York, NY 10014","Closed ⋅ Opens 7 AM","(646) 649-3538","http://www.787coffee.com/","Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","Locals; Tourists","Credit cards; NFC mobile payments","Free street parking","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"19","St Kilda Coffee","40.7590238,-73.9902597","4.6","672","Coffee shop","Coffee shop","coffee_shop","328 W 44th St, New York, NY 10036","Closed ⋅ Opens 7 AM","(917) 262-0945","http://stkildacoffee.com/","Outdoor seating; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","Family-friendly; Tourists","Credit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"20","BUNGEE Coffee","40.722431799999995,-73.992346","4.7","45","Coffee shop","Coffee shop","coffee_shop","13 Stanton St, New York, NY 10002","Closed ⋅ Opens 11 AM","","http://bungee.space/","Onsite services; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert","","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"21","Black Fox Coffee","40.7532535,-73.9983725","4.5","220","Coffee shop","Coffee shop","coffee_shop","438 W 33rd St, New York, NY 10001","Closed ⋅ Opens 7 AM","","http://www.blackfoxcoffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite; Vegetarian options","Breakfast; Lunch; Catering; Dessert; Seating","","Casual; Cozy; Trendy","Family-friendly","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/11rcsnjfcq&g2lbs=AO8LyOK9vyGhGkHsUsCIzbEisiQtEvXYdvdmmu443ng3PCCH9VBj89EelqIioy_4ycgkd-vEE5-oVJwslregoRI4TCS1P_hDphPDhMcikJGDwFsWqwWjSkQ%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"22","Ariston Coffee Bar","40.7358203,-73.9941825","4.6","515","Coffee shop","Coffee shop","coffee_shop","78 5th Ave, New York, NY 10011","Closed ⋅ Opens 8 AM Sat","(212) 929-4226","http://www.aristonflowers.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite; Vegan options; Vegetarian options","Breakfast; Dessert; Seating","Bar onsite; Gender-neutral restroom; Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","Paid street parking; Usually difficult to find a space","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"23","Gotham Coffee Roasters","40.739861999999995,-73.992693","4.5","245","Coffee shop","Coffee shop; Cafe; Coffee roasters; Coffee store; Coffee wholesaler","coffee_shop","23 W 19th St, New York, NY 10011","Closed ⋅ Opens 7 AM","(212) 255-2972","http://www.gothamroasters.com/","Outdoor seating; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Prepared foods; Quick bite; Vegetarian options","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"24","Ground Support Cafe","40.7242903,-74.001961","4.4","891","Coffee shop","Coffee shop","coffee_shop","399 W Broadway, New York, NY 10012","Closed ⋅ Opens 7 AM","(212) 219-8722","https://groundsupportnyc.com/","Takeout; Dine-in","Breakfast; Lunch; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Organic dishes; Prepared foods; Quick bite","Breakfast; Brunch; Lunch; Dessert; Seating","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Tourists","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"25","White Noise Coffee - Coffee Shop & Roastery","40.7701469,-73.99193149999999","4.7","305","Coffee shop","Coffee shop; Breakfast restaurant; Cafe; Coffee roasters; Coffee store; Coffee wholesaler; Espresso bar; Internet cafe","coffee_shop","829 11th Ave, Manhattan, NY 10019","Closed ⋅ Opens 7 AM","(646) 596-0022","https://whitenoisecoffee.com/","Curbside pickup; Delivery; Onsite services; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite; Vegetarian options","Breakfast; Brunch; Lunch; Catering; Dessert; Seating","Restroom; Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"26","Stumptown Coffee Roasters","40.7457399,-73.9882272","4.5","1627","Coffee shop","Coffee shop; Cafe; Coffee store; Tea store","coffee_shop","18 W 29th St, New York, NY 10001","Closed ⋅ Opens 6 AM","(347) 414-7816","https://www.stumptowncoffee.com/pages/locations-new-york-ace-hotel","Onsite services; Takeout; Dine-in","Breakfast; Solo dining","Fireplace; Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Brunch; Lunch; Dessert","Restroom; Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","Dogs allowed","","https://www.google.com/viewer/chooseprovider?mid=/g/1hhw712x0&g2lbs=AO8LyOJPsNPz_WGMJIrnHIRrqITS8pdwtLGaIe10EKs8FjA2N7G4e5MzE6pIMHa2wXWklDNoc0dsanhErdUA18S21fPzPPT0Vrdz6lJ7KJe4YY9HRrwh6v0%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"27","St Kilda Coffee","40.7607887,-73.9904902","4.6","246","Coffee shop","Coffee shop","coffee_shop","374 W 46th St, New York, NY 10036","Closed ⋅ Opens 7 AM","(646) 756-4660","http://www.stkildacoffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite; Vegetarian options","Breakfast; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","LGBTQ+ friendly; Locals; Tourists","Credit cards; NFC mobile payments","Paid street parking","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"28","Bibble & Sip","40.7628415,-73.9851781","4.5","3433","Coffee shop","Coffee shop; Cafe; Bakery","coffee_shop","253 W 51st St, New York, NY 10019","Closed ⋅ Opens 9 AM Sat","(646) 649-5116","http://bibbleandsip.com/","In-store pickup; Onsite services; Takeout; Dine-in","","","Coffee","Breakfast","Restroom","","","Credit cards; Debit cards; NFC mobile payments","Paid street parking","","Quick visit","https://www.google.com/viewer/chooseprovider?mid=/g/11b6_wnjs0&g2lbs=AO8LyOKTe5mVE0Gk0NSiljTFiQZfywez-UnGeSUjoiORKonRjtDzN9iJ8_YkhbPqQQg-0FaCU3VSOay9ffTFDqgvjfW3XezE2knsjLMSZ4uvlM0qA--BfWI%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"29","Saltwater Coffee","40.730303299999996,-73.9839626","4.5","372","Coffee shop","Coffee shop","coffee_shop","345 E 12th St, New York, NY 10003","Closed ⋅ Opens 7 AM","(407) 538-3485","http://www.saltwaternyc.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","College students; Family-friendly; Tourists","Credit cards; Debit cards; NFC mobile payments","","","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"30","The Jolly Goat Coffee Bar","40.763255199999996,-73.9940053","4.5","487","Coffee shop","Coffee shop","coffee_shop","515 W 47th St, New York, NY 10036","Closed ⋅ Opens 8 AM","","http://www.thejollygoat.com/","Delivery; Takeout; Dine-in","Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","Wi-Fi; Free Wi-Fi","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","","","","https://www.google.com/viewer/chooseprovider?mid=/g/1q6j4gl8r&g2lbs=AO8LyOKA0SKEh37rzk1Ms7mlDb4798OWIc-N95E-sprHXAzSZ-zW6u8A520hj6rHoJv6Cuv8GIAM8ZSD9vqCUVZllzt_SstDw8FJjIg7n539G1x7Sw2DInU%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"31","787 Coffee","40.733954399999995,-74.0039929","4.9","2655","Coffee shop","Coffee shop","coffee_shop","204 W 10th St, New York, NY 10014","Closed ⋅ Opens 7 AM","(646) 852-6473","http://www.787coffee.com/","Outdoor seating; Onsite services; Takeout; Dine-in","Solo dining","Fast service; Great coffee; Great tea selection","Alcohol; Coffee; Organic dishes; Quick bite; Small plates; Vegan options; Vegetarian options","Breakfast; Dessert; Seating","Restroom","Casual; Cozy; Trendy","Locals; Tourists","Credit cards; NFC mobile payments","Free street parking","Dogs allowed; Dogs allowed inside; Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"32","WatchHouse 5th Ave.","40.7602251,-73.97701339999999","4.5","574","Coffee shop","Coffee shop","coffee_shop","660 5th Ave, New York, NY 10103","Closed ⋅ Opens 8 AM","(646) 895-6779","https://watchhouse.com/","Outdoor seating; Takeout; Dine-in","Breakfast; Solo dining; Good for working on laptop","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Lunch; Dessert; Seating","Restroom","Casual; Cozy; Trendy","Family-friendly; LGBTQ+ friendly; Tourists; Transgender safespace","Credit cards; Debit cards; NFC mobile payments","Paid street parking; Usually difficult to find a space","Dogs allowed outside","","","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
"33","Saranda Cafe","40.7553285,-73.99346349999999","4.9","56","Coffee shop","Coffee shop","coffee_shop","330 W 38th St, New York, NY 10018","Closed ⋅ Opens 7:30 AM Sat","(347) 908-4827","","Curbside pickup; Delivery; Takeout; Dine-in","Breakfast; Solo dining","Great coffee; Great tea selection","Coffee; Quick bite","Breakfast; Dessert; Seating","","Casual; Cozy; Trendy","","Credit cards; NFC mobile payments","Paid street parking","","","https://www.google.com/viewer/chooseprovider?mid=/g/11ybk8jmwb&g2lbs=AO8LyOLnzKyTYGEU_W-lG_B3eFBEB8mZ93yJhhUFPd1D2eTF_2lpm74bP0OpfoG1I9LhKd6jtgqisp2SVz8aSA5-kLtOjpn0MjurZowtbMXVS7kHjWPWTlU%3D&hl=en-US&gl=us&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp","""2025-07-04T09:32:20.000Z""","""2025-07-04T09:32:20.000Z"""
